 TIME                    ,±ÃÊýÁ¿                   ,±ÃÆµÂÊ                   ,ÀäÈ´ËþÊýÁ¿               ,ÀäÈ´ËþÆµÂÊ               ,
  +4.6046000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6046999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6048000000000002E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6048999999999996E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6050000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6051000000000004E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6051999999999998E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6053000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6053999999999996E+03,  +1.0000000000000000E+00,  +3.8000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6055000000000000E+03,  +1.0000000000000000E+00,  +3.8000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6056000000000004E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6056999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.6058000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.6058999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.6060000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6061000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6061999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6063000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6063999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6065000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6066000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6066999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6068000000000002E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6068999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.6070000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6071000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6071999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6073000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6073999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6075000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6076000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.6076999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.6078000000000002E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
