 TIME                    ,¸ººÉ                     ,
  +4.5971000000000004E+03,  +3.1374418049999999E+03,
  +4.5971999999999998E+03,  +4.1116143179999999E+03,
  +4.5973000000000002E+03,  +3.9798837610000000E+03,
  +4.5973999999999996E+03,  +4.7276774599999999E+03,
  +4.5975000000000000E+03,  +4.6362286740000000E+03,
  +4.5976000000000004E+03,  +2.9374827129999999E+03,
  +4.5976999999999998E+03,  +3.7744746409999998E+03,
  +4.5978000000000002E+03,  +3.2018299149999998E+03,
  +4.5978999999999996E+03,  +3.5034858700000000E+03,
  +4.5980000000000000E+03,  +3.5526899370000001E+03,
  +4.5981000000000004E+03,  +4.8306596369999997E+03,
  +4.5981999999999998E+03,  +4.3863645980000001E+03,
  +4.5983000000000002E+03,  +2.1274429359999999E+03,
  +4.5983999999999996E+03,  +4.9757282409999998E+03,
  +4.5985000000000000E+03,  +2.1684291420000000E+03,
  +4.5986000000000004E+03,  +3.4448411529999998E+03,
  +4.5986999999999998E+03,  +3.2140746540000000E+03,
  +4.5988000000000002E+03,  +4.4346188309999998E+03,
  +4.5988999999999996E+03,  +4.2841329530000003E+03,
  +4.5990000000000000E+03,  +3.8223277469999998E+03,
  +4.5991000000000004E+03,  +2.9398814630000002E+03,
  +4.5991999999999998E+03,  +4.4074736860000003E+03,
  +4.5993000000000002E+03,  +2.8782159630000001E+03,
  +4.5993999999999996E+03,  +3.3432462190000001E+03,
  +4.5995000000000000E+03,  +4.4305381310000002E+03,
  +4.5996000000000004E+03,  +3.4733544919999999E+03,
  +4.5996999999999998E+03,  +2.9661623679999998E+03,
  +4.5998000000000002E+03,  +4.1153296280000004E+03,
  +4.5998999999999996E+03,  +3.2884885089999998E+03,
  +4.6000000000000000E+03,  +1.6596413210000001E+03,
  +4.6001000000000004E+03,  +1.2442239340000001E+03,
  +4.6001999999999998E+03,  +1.3443543790000001E+03,
  +4.6003000000000002E+03,  +1.1226682049999999E+03,
  +4.6003999999999996E+03,  +1.7024730020000000E+03,
  +4.6005000000000000E+03,  +1.0145934310000000E+03,
  +4.6006000000000004E+03,  +1.8877079030000000E+03,
  +4.6006999999999998E+03,  +1.2119185530000000E+03,
  +4.6008000000000002E+03,  +1.0203529180000000E+03,
  +4.6008999999999996E+03,  +1.1644756250000000E+03,
  +4.6010000000000000E+03,  +1.5611536460000000E+03,
  +4.6011000000000004E+03,  +1.9467525960000000E+03,
  +4.6011999999999998E+03,  +9.4972494180000001E+02,
  +4.6013000000000002E+03,  +1.0807314910000000E+03,
  +4.6013999999999996E+03,  +1.1479860810000000E+03,
  +4.6015000000000000E+03,  +1.5923434540000001E+03,
  +4.6016000000000004E+03,  +1.3073273480000000E+03,
  +4.6016999999999998E+03,  +1.8231771590000001E+03,
  +4.6018000000000002E+03,  +1.7409572539999999E+03,
  +4.6018999999999996E+03,  +1.6512863900000000E+03,
  +4.6020000000000000E+03,  +1.0528887950000001E+03,
  +4.6021000000000004E+03,  +1.8127638070000000E+03,
  +4.6021999999999998E+03,  +1.0200106250000000E+03,
  +4.6023000000000002E+03,  +1.9758184930000000E+03,
  +4.6023999999999996E+03,  +1.2162881050000001E+03,
  +4.6025000000000000E+03,  +1.7197680250000001E+03,
  +4.6026000000000004E+03,  +9.1870702100000005E+02,
  +4.6026999999999998E+03,  +1.3931608269999999E+03,
  +4.6028000000000002E+03,  +1.2858760680000000E+03,
  +4.6028999999999996E+03,  +1.1971365510000001E+03,
  +4.6030000000000000E+03,  +9.0544227369999999E+02,
  +4.6031000000000004E+03,  +1.7941332900000000E+03,
  +4.6031999999999998E+03,  +1.6032348039999999E+03,
  +4.6033000000000002E+03,  +1.7720081000000000E+03,
  +4.6033999999999996E+03,  +1.0222678610000000E+03,
  +4.6035000000000000E+03,  +1.5608383630000001E+03,
  +4.6036000000000004E+03,  +1.0647914830000000E+03,
  +4.6036999999999998E+03,  +1.8060080860000000E+03,
  +4.6038000000000002E+03,  +1.8130046370000000E+03,
  +4.6038999999999996E+03,  +1.1212250010000000E+03,
  +4.6040000000000000E+03,  +1.9007401239999999E+03,
  +4.6041000000000004E+03,  +1.8406849990000001E+03,
  +4.6041999999999998E+03,  +1.9598179080000000E+03,
  +4.6043000000000002E+03,  +1.7068991360000000E+03,
  +4.6043999999999996E+03,  +1.9678540060000000E+03,
  +4.6045000000000000E+03,  +1.4867915160000000E+03,
  +4.6046000000000004E+03,  +1.9071424910000001E+03,
  +4.6046999999999998E+03,  +1.4125373010000001E+03,
  +4.6048000000000002E+03,  +1.6561006649999999E+03,
  +4.6048999999999996E+03,  +1.3056858030000001E+03,
  +4.6050000000000000E+03,  +1.7829257930000001E+03,
  +4.6051000000000004E+03,  +1.3949865100000000E+03,
  +4.6051999999999998E+03,  +1.4782467039999999E+03,
  +4.6053000000000002E+03,  +1.3235072399999999E+03,
  +4.6053999999999996E+03,  +1.9834208650000000E+03,
  +4.6055000000000000E+03,  +1.6933507270000000E+03,
  +4.6056000000000004E+03,  +1.0661812330000000E+03,
  +4.6056999999999998E+03,  +1.7121261950000001E+03,
  +4.6058000000000002E+03,  +1.1171982579999999E+03,
  +4.6058999999999996E+03,  +1.9613933210000000E+03,
  +4.6060000000000000E+03,  +1.2457977380000000E+03,
  +4.6061000000000004E+03,  +1.0397781920000000E+03,
  +4.6061999999999998E+03,  +1.9377812930000000E+03,
  +4.6063000000000002E+03,  +1.6173488649999999E+03,
  +4.6063999999999996E+03,  +1.2077859690000000E+03,
