 TIME                    ,ÏµÍ³COP                  ,Time                     ,¸ººÉ                     ,
  +4.5225000000000000E+03,  +5.5709035760515837E+00,  +4.5226000000000004E+03,  +4.6559068870000001E+03,
  +4.5226000000000004E+03,  +5.4887590236632207E+00,  +4.5226999999999998E+03,  +3.9579496279999998E+03,
  +4.5226999999999998E+03,  +5.1831586434759522E+00,  +4.5228000000000002E+03,  +2.9082755170000000E+03,
  +4.5228000000000002E+03,  +5.1267360549074663E+00,  +4.5228999999999996E+03,  +3.7276346650000000E+03,
  +4.5228999999999996E+03,  +5.3774726221838289E+00,  +4.5230000000000000E+03,  +3.4951390839999999E+03,
  +4.5230000000000000E+03,  +4.9619849845080575E+00,  +4.5231000000000004E+03,  +2.8353748559999999E+03,
  +4.5231000000000004E+03,  +5.0190062441086054E+00,  +4.5231999999999998E+03,  +2.3300699110000000E+03,
  +4.5231999999999998E+03,  +5.1076760586311725E+00,  +4.5233000000000002E+03,  +2.2204296199999999E+03,
  +4.5233000000000002E+03,  +5.1070050377788290E+00,  +4.5233999999999996E+03,  +2.0233800879999999E+03,
  +4.5233999999999996E+03,  +5.4085096419781138E+00,  +4.5235000000000000E+03,  +3.8883979869999998E+03,
  +4.5235000000000000E+03,  +4.6993843362913212E+00,  +4.5236000000000004E+03,  +3.2368290240000001E+03,
  +4.5236000000000004E+03,  +5.2881581979280963E+00,  +4.5236999999999998E+03,  +3.9420302660000002E+03,
  +4.5236999999999998E+03,  +5.0423671956835143E+00,  +4.5238000000000002E+03,  +2.7861751859999999E+03,
  +4.5238000000000002E+03,  +5.2551533200564675E+00,  +4.5238999999999996E+03,  +3.8932448869999998E+03,
  +4.5238999999999996E+03,  +4.8182628767465507E+00,  +4.5240000000000000E+03,  +3.6638713330000000E+03,
  +4.5240000000000000E+03,  +5.2533837885771533E+00,  +4.5241000000000004E+03,  +2.5906290660000000E+03,
  +4.5241000000000004E+03,  +4.8051900463855270E+00,  +4.5241999999999998E+03,  +3.0864112780000000E+03,
  +4.5241999999999998E+03,  +5.4631078288022632E+00,  +4.5243000000000002E+03,  +4.2538228849999996E+03,
  +4.5243000000000002E+03,  +5.1005906418451739E+00,  +4.5243999999999996E+03,  +3.1491691660000001E+03,
  +4.5243999999999996E+03,  +5.0416469697950648E+00,  +4.5245000000000000E+03,  +2.8206008019999999E+03,
  +4.5245000000000000E+03,  +5.4096501653346420E+00,  +4.5246000000000004E+03,  +4.5641738519999999E+03,
  +4.5246000000000004E+03,  +4.6898565358543074E+00,  +4.5246999999999998E+03,  +3.6008734899999999E+03,
  +4.5246999999999998E+03,  +5.2528416189283753E+00,  +4.5248000000000002E+03,  +2.3131466660000001E+03,
  +4.5248000000000002E+03,  +5.0097724384704119E+00,  +4.5248999999999996E+03,  +2.5467972119999999E+03,
  +4.5248999999999996E+03,  +4.9614710677528278E+00,  +4.5250000000000000E+03,  +2.8022344340000000E+03,
  +4.5250000000000000E+03,  +5.3630277047095012E+00,  +4.5251000000000004E+03,  +4.0143141030000002E+03,
  +4.5251000000000004E+03,  +5.3330013469558528E+00,  +4.5251999999999998E+03,  +4.0732374559999998E+03,
  +4.5251999999999998E+03,  +5.1863015438385895E+00,  +4.5253000000000002E+03,  +3.2743553649999999E+03,
  +4.5253000000000002E+03,  +5.6034242621861310E+00,  +4.5253999999999996E+03,  +4.5147219919999998E+03,
  +4.5253999999999996E+03,  +5.2683990324480394E+00,  +4.5255000000000000E+03,  +3.8945239820000002E+03,
  +4.5255000000000000E+03,  +4.8791237315962572E+00,  +4.5256000000000004E+03,  +4.8726519369999996E+03,
  +4.5256000000000004E+03,  +4.9547586510298931E+00,  +4.5256999999999998E+03,  +2.9618215399999999E+03,
  +4.5256999999999998E+03,  +4.8553641333168862E+00,  +4.5258000000000002E+03,  +4.9225327479999996E+03,
  +4.5258000000000002E+03,  +5.2529913931118832E+00,  +4.5258999999999996E+03,  +3.4792991320000001E+03,
  +4.5258999999999996E+03,  +4.9914823949156668E+00,  +4.5260000000000000E+03,  +2.4699989580000001E+03,
  +4.5260000000000000E+03,  +5.3061257177227343E+00,  +4.5261000000000004E+03,  +4.7396311560000004E+03,
  +4.5261000000000004E+03,  +4.4135333475073937E+00,  +4.5261999999999998E+03,  +2.6084650609999999E+03,
  +4.5261999999999998E+03,  +5.1963870681317790E+00,  +4.5263000000000002E+03,  +3.2912944880000000E+03,
  +4.5263000000000002E+03,  +5.4931415699953350E+00,  +4.5263999999999996E+03,  +4.3968750430000000E+03,
